State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Max _Team,Min_Temp,Avg_temp,Rainfall,Humidity,Soil
Odisha,ANUGUL,2010,Winter     ,Moong(Green Gram),1171,242.4,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Winter     ,Potato,423,4637.3,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Winter     ,Rapeseed &Mustard,423,49.9,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Winter     ,Rice,68000,43000,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Winter     ,Sesamum,2102,378.4,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Winter     ,Sugarcane,107,5538.5,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2010,Winter     ,Urad,1412,314.9,33.91666667,20.08333333,27,950.6,74.25,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Autumn     ,Groundnut,1923,1861.5,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Autumn     ,Maize,869,758.7,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Autumn     ,Moong(Green Gram),1887,300,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Autumn     ,Ragi,3,1.7,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Autumn     ,Rice,14000,9000,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Autumn     ,Sesamum,955,191,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Autumn     ,Urad,2458,471.9,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Summer     ,Groundnut,212,222,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Summer     ,Maize,10,13.6,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Summer     ,Moong(Green Gram),206,56.9,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Summer     ,Rice,1000,2000,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Summer     ,Sesamum,342,88.2,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
Odisha,ANUGUL,2011,Summer     ,Urad,18,4.9,32.95,19.425,26.1875,1344.9,73.29166667,RED AND YELLOW SOIL&RED SOIL
